ResponseId,Group,Correct,Regret,Female,Age,Educ,Income,Ideology,PID,PID0,PID1,PID2,PID3,Knowledge,Voted,VotedAnaya,VotedObrador,NewVote,ExtEffi,IntEffi,Trust_Media,Satisficer,M1,M2,M3,M,W
R_wMjuS7HXETIQtxL,Treat2,4,1,0,56,5,9,5,MORENA-PT-PES,0,0,0,1,0,1,0,1,1,1,3,2,0,0,1,0,1,4.510031297709924
R_3eqmP9um1u4FAZD,Treat1,5,0,0,69,6,20,5,Etc,1,0,0,0,2,1,0,0,0,3,2,3,0,1,0,0,1,4.742160256410257
R_2vZmdDNLw58F83Y,Treat1,5,0,0,52,6,20,9,Etc,1,0,0,0,2,1,0,1,0,4,5,2,0,1,0,0,1,4.510031297709924
R_BrkTeMoWsBv4Zhv,Control,5,0,0,61,5,9,9,PRI-PVEM-PNA,0,0,1,0,3,1,0,0,0,4,4,3,0,0,0,1,1,4.742160256410257
R_2pYQ71OBuzLZkVe,Treat1,5,0,0,54,5,16,9,PAN-PRD-MC,0,1,0,0,3,1,0,0,0,5,5,4,0,1,0,0,1,4.510031297709924
R_1Cm6ZSllxkOHtyZ,Treat1,5,0,0,63,5,11,5,Etc,1,0,0,0,2,1,0,1,0,1,4,2,0,0,0,0,0,4.742160256410257
R_XhNe48cmEzjAxBT,Treat2,5,0,0,58,3,6,2,MORENA-PT-PES,0,0,0,1,3,1,0,1,0,5,5,2,0,0,1,0,1,4.510031297709924
R_3I02OeENPIPrx2m,Treat2,3,0,1,50,5,8,5,PRI-PVEM-PNA,0,0,1,0,3,1,0,0,0,5,5,4,0,0,0,0,0,6.300476699029127
R_1In3fjxGVDqUeEM,Control,4,1,0,55,6,19,6,PRI-PVEM-PNA,0,0,1,0,3,1,0,1,1,5,5,2,0,0,0,1,1,4.510031297709924
R_2aUYPpjcxl5pr8e,Control,2,1,0,64,6,10,6,MORENA-PT-PES,0,0,0,1,2,1,0,1,2,4,4,4,0,0,0,1,1,4.742160256410257
R_1OjXJChO2i5XHB6,Treat2,5,0,0,50,2,3,7,MORENA-PT-PES,0,0,0,1,0,1,0,1,0,1,5,4,0,0,0,0,0,4.510031297709924
R_12zsvVgSVItJtR7,Treat2,3,0,0,55,5,1,4,Etc,1,0,0,0,1,1,0,1,0,3,4,1,0,0,1,0,1,4.510031297709924
R_28FFPZYVTFLNm7x,Control,5,0,1,58,4,12,0,MORENA-PT-PES,0,0,0,1,1,1,0,1,0,5,5,2,0,0,0,1,1,6.300476699029127
R_3Rr1CUNqj9D3U2J,Treat1,5,0,0,52,5,17,4,MORENA-PT-PES,0,0,0,1,3,1,0,1,0,4,5,2,0,0,0,0,0,4.510031297709924
